US State,C1,C2,C3,C4,C5,C6,C7,C8,C9
Alabama,-0.06470819453381196,-0.05178037270706234,-0.021773806587667505,0.049151339279906975,-0.03723120352663107,0.1829704713755882,-0.005962978151398006,-0.25480943511606513,-0.09313213043882387
Alaska,-2.6633424106188532,0.07073651498067571,-0.056055127099347346,-0.010644998531618627,0.022752701089252703,-0.10525601459891948,-0.004212121371498359,0.009571275856075326,-0.014749566826402681
Arizona,0.16443644496397258,0.5979212705699752,-0.159533050378329,-0.3460344945391852,0.24191692895247513,0.10774299902920687,0.08906702679633115,0.12118700048598892,0.04584715035303919
Arkansas,-0.9719878442242327,-0.01788276026126824,0.05561290974241964,-0.016618293571283457,-0.008735666782784264,0.13600276363385572,-0.014224536642140951,0.10372736035978196,-0.06977305163275571
California,12.202304863115653,0.86881401129876,-1.5742507448818475,0.3870153312687301,-0.14158002891072477,-0.08806026361813579,-0.05896563720910952,0.04161007168458086,-0.03433399646039373
Colorado,-0.800297704553476,0.4661071026506901,0.10495039035668086,-0.21317965629160465,0.3902326639243679,0.010797505259324852,-0.11286272022977731,-0.07914142510362673,0.01810172327317519
Connecticut,-1.430717356433257,-0.15634045141926337,-0.07698313340453664,0.06442268316000821,-0.04863619397711331,-0.050175352750117974,0.022058095190909885,-0.06563946439511222,0.018455732708532447
Delaware,-2.4196369866988108,-0.02068823232488265,-0.06113206121796344,0.055087094362715194,-0.14155196759430191,-0.06848829296263542,0.005235227978697091,-0.020198478191609498,-0.010447239936021362
District of Columbia,-2.695950191853596,-0.012764848048155614,-0.10333602281721466,0.03065475756698835,-0.11609315588434993,-0.10717539416103472,0.04388629360342931,0.0034331254764587565,-0.01997627672495475
Florida,7.485086309684379,0.15946122539329421,0.6523486836470221,-1.1741018717723115,-0.3468645877942612,-0.1443203264576005,-0.10949278951083691,-0.0839964648137016,-0.003369319248342214
Georgia,1.6188675821913945,0.1531529763082084,0.4287799756213772,0.3256149402001521,-0.022694184075873217,0.10970904706447604,0.030273360167458768,-0.044526147430929516,0.015723429840582587
Hawaii,-2.197384742492032,-0.15215641950172015,-0.2824634943306139,0.12421901585935523,0.036442065026797726,-0.10268555139274349,-0.14686272458521937,-0.05476400136499929,-0.05708119169350785
Idaho,-2.123011674667334,0.13541647148499658,-0.07164806294115639,-0.052173331547772706,0.050713890495732404,-0.04673899444207186,-0.0009561444095445293,-0.028628183947918565,-0.010242196661094067
Illinois,2.8361375060178484,-0.6507044463272431,0.35398293174110906,0.32496997142054973,-0.14960301242176693,-0.04794469117262279,-0.1582070865932324,-0.09002905510388673,0.029664940832912906
Indiana,0.6027433489992351,0.02150949487505413,0.3357472270635064,0.015146828747317296,-0.07230018900080755,0.19131546304869876,0.013326104729727006,0.1475562336955202,0.01960552299919739
Iowa,-1.3326054284652566,0.11397483274029604,-0.1801466521494498,-0.05126069116322234,-0.07476108601582236,0.06417836200273486,0.08944133279692465,-0.018800423689600387,0.012945226754301091
Kansas,-1.4335511070891953,-0.005795419707080446,0.05215840913161329,-0.05634836732908444,0.025861972260177706,0.011208126518868378,-0.07479123950185967,0.06550887718464163,-0.024180045797302457
Kentucky,-0.35529995898608185,-0.11178398643761916,0.1730161209933624,-0.046107151003970774,-0.03896900367143192,0.23292759822367978,-0.03987901094088229,0.10797796851393557,0.05096158516772255
Louisiana,-0.45130552248991274,-0.020993372251541007,0.1722233975622472,0.19804073009901713,-0.10169319248156028,-0.040757112478264426,0.0886607421836546,-0.03440928828412651,-0.03192613499693133
Maine,-2.12293010261417,0.020754291815230114,-0.05392474525801366,0.0010920511978176894,-0.05696434263206078,-0.017439748776343966,-0.022904339524252082,-0.018039369257738858,0.02205988068988896
Maryland,-0.5555679151294516,-0.2879406130888975,-0.049342099357050404,-0.08830636555878657,-0.11787334094397361,-0.2797712050669544,-0.03424563207264805,0.030125384015067595,-0.029646962443509218
Massachusetts,-0.12837479562310727,-0.48688218462100596,-0.036377439285309954,0.18718891994939293,-0.012135380286402132,0.0543042279893995,-0.09052125513170892,-0.05416350989358479,0.14002454885156748
Michigan,2.244864407934476,-0.09943098893531649,0.15862654598985126,0.04687268076584783,-0.0921288893402317,0.12249935022860448,0.22896211303988032,-0.06411080037780535,-0.039992016856748205
Minnesota,-0.6726755185106683,0.3391206817662181,-0.15304862099374575,-0.03262095661186751,-0.043320578907779225,-0.005255100764280304,0.03669385082412076,-0.03793107430124674,0.11922923619760091
Mississippi,-1.0511902030073046,-0.08781351266648736,-0.06407898193471577,0.14732252736777296,-0.15884044252990306,0.05698176396697688,-6.534736656442844e-05,0.08555141729237478,-0.05981555674053489
Missouri,0.5313889138424444,-0.15438289677425668,0.3424814726114133,0.13627793279632955,0.12120671361852177,0.1282771528896309,-0.06556404850097314,-0.07416406388043123,-0.03082478064914991
Montana,-2.346827692134692,0.0711962451523202,-0.040513167867362254,-0.0784908089956815,0.040688992082439666,-0.04764120300524627,-0.021023833657470764,0.000565585223881615,-0.016368399874060628
Nebraska,-2.0094030262241085,0.011896309659509496,-0.13627792320997645,-0.04514180477960325,-0.0728542978992825,0.036900492669315166,-0.011729502786936394,0.0381982276552925,-0.004839918487641972
Nevada,-1.5574484336064414,-0.003804911891429341,-0.11239643073141875,-0.16093830724735725,0.2152811187995213,0.000677428491959009,-0.03995482129743465,-0.06637362629795333,-0.036919854427073066
New Hampshire,-2.2765561827666274,0.03443203535060543,-0.07299401992441612,-0.03169369715070308,-0.010441156765004872,-0.045638388994662216,0.01719611915658252,0.00024473166021052317,0.008893064518593239
New Jersey,0.6771503776251193,-0.41438002196517687,0.1427293350353402,0.27833122425075346,-0.22998669012198172,-0.13618504542821924,0.25055233316362446,-0.033067533055299594,0.06078508436429793
New Mexico,-1.8897985859355309,0.07512150376969098,0.014491700779737215,-0.06566119393325731,0.08817477799888496,-0.06776978746196499,-0.04415286539982381,0.09080821800014204,-0.03283220339764568
New York,4.58694660402712,-1.9378731394679547,-0.870117230492461,-0.3607787127553423,0.3663159798750413,0.024064821551998072,0.12796330118371219,0.028098456609034872,0.004998611821384495
North Carolina,2.2009805107245803,-0.09443754800427229,0.16557627957313803,0.2601418338703139,-0.032592018906832526,0.1586287794472297,-0.2877936340614585,0.07556997406039737,0.023243722848862787
North Dakota,-2.532795380361533,0.0523779165731435,-0.0925656519868181,0.05966157842584069,-0.05694196889389505,-0.06184131235858348,0.006803055973719899,-0.005681928027622352,-0.019303465731321277
Ohio,3.4086111468765727,-0.1056572345616772,0.18463326637737953,-0.08934967765034438,-0.2230936908968909,0.1873108563393453,0.03794482281118941,0.07498592982436983,0.009711023460953917
Oklahoma,-0.749528076052409,0.18785832107884307,-0.0689977333041531,-0.31181143921805393,-0.014187468365791989,0.12882628077698446,0.14822597373767912,0.06557206763444759,-0.059127204524985745
Oregon,-0.9780738212036381,0.36341815066898797,-0.12858061018892009,-0.1593656648147617,0.07064082940564342,-0.0955768134320264,-0.029101328597092538,0.025519085921097723,0.043392451022738414
Pennsylvania,3.893308702398922,-0.7188989407478779,0.5006089324890433,0.1168690226273815,0.16982921835789502,-0.15520537872476792,-0.05729686181314814,0.06993305046733986,-0.023871225728154987
Rhode Island,-2.4086231071775286,-0.014339795944973366,-0.09947325992150857,0.05204909213380107,-0.10254471857285184,-0.0501858749393011,0.04085250203009899,-0.0007503024359258592,-0.0019885517435632247
South Carolina,-0.2841372666502708,0.22232307061036594,0.12299650150546124,0.05669050455164448,-0.12768605537758226,0.02088403874656472,0.04766931389700292,0.01859319342189282,0.025436062682256472
South Dakota,-2.447060445202884,0.062180859428752344,-0.15358906515409393,0.006346845533997558,-0.03598735883051398,-0.04716699574575639,-0.003442634456616314,-0.006682774120058299,-0.015612870302979937
Tennessee,0.8868790733798257,0.024458699422832096,-0.18271574538783542,-0.00639006674695719,0.059813187935126265,0.3138476639408934,-0.06403060899979389,-0.1391743488517145,-0.021029656015886074
Texas,7.69308239173909,0.6084678908153255,1.170118862523772,0.3501154021253272,0.3635964463612542,-0.11959672917385,0.16278042117414315,0.008424098265898294,-0.0380559979510733
Utah,-1.8229994235127331,0.22745452768489205,0.03703558762273934,0.08041132161494663,0.24611607554032286,-0.12761986561882793,-0.04169669270688775,0.03988510602872221,-0.056229317081981624
Vermont,-2.607021034569563,0.07732067444976395,-0.12952796037446956,0.0026590579305092454,-0.08728655077231263,-0.04914252851202133,0.0537489803026648,-0.018300024716645436,0.00820286656302557
Virginia,0.6733797124430668,-0.1500207477162401,0.35777944168220355,0.19478376305375691,0.05877371102302508,-0.16107038792480496,-0.0687694553209019,0.0624311296364344,0.06179695973231718
Washington,0.1629655498074608,0.6870959994443202,-0.4050606887211965,-0.14572723826261583,0.23208547658328793,-0.012089978111745905,0.047165655733247054,-0.08994854956691511,0.09756501461501994
West Virginia,-1.6651883160886076,-0.018430973220555646,-0.00820950051856667,-0.06206010378293733,-0.0722989079015002,0.04719164818878141,-0.03482332947692868,0.12247243742549027,-0.014054804650119258
Wisconsin,-0.1956399421039332,0.0737956314570945,0.00617494711207546,0.047574718836652305,0.06734264360722998,-0.004620936657905431,0.0536528043844219,-0.04398006408022936,0.05004443183651216
Wyoming,-2.6274950541901094,0.048817109142108295,-0.08695988874133609,0.006093724261499289,-0.019908062854776483,-0.04182756665270182,0.0013737494569190378,-0.010239670094328274,-0.016964334111525294
